ID	Int_TYPE1	Area_TYPE1	Int_TYPE2_N	Area_TYPE1
191	2.9260	2177	18.9545	2177
192	4.7883	326	5.0460	326
193	1.8101	1032	15.8304	1032
194	12.7134	1455	1.9711	1455
195	7.5068	1906	1.4119	1906
196	25.5177	423	8.3877	423
197	14.0549	1932	1.6744	1932
198	2.2182	3410	11.2601	3410
199	5.6073	4426	21.2926	4426
200	1.2325	628	26.6465	628
201	8.2161	2166	7.0679	2166
202	2.2686	1400	23.7321	1400
203	2.1171	2869	21.5960	2869
204	11.7182	3030	9.6878	3030
205	2.7916	2131	14.4087	2131
206	13.5884	1358	8.1487	1358
207	2.5326	1656	4.1655	1656
208	6.6604	748	5.7540	748
209	7.2729	2422	20.6945	2422
210	2.0973	3937	12.3650	3937
211	1.9124	194	7.7629	194
212	3.1960	4077	5.9159	4077
213	2.9912	796	5.9673	796
214	2.1350	1178	2.9762	1178
215	3.9434	53	2.9811	53
216	3.6620	1423	2.7294	1423
217	2.4811	2201	2.0282	2201
218	2.8650	2259	2.0938	2259
219	2.2241	58	1.7931	58
220	15.4720	3566	6.0446	3566
221	16.0188	1169	1.6390	1169
222	2.8638	5523	2.2488	5523
223	2.6840	2592	2.0548	2592
224	2.4008	3423	2.2419	3423
225	2.6233	3273	2.0049	3273
226	10.5600	50	6.1000	50
227	5.5279	1360	29.5559	1360
228	2.2848	3968	2.1651	3968
229	2.5839	2605	1.8653	2605
230	3.3281	128	1.9766	128
231	2.0304	1118	1.5188	1118
232	2.3655	1431	1.5185	1431
233	19.9258	1038	5.5559	1038
234	2.3579	1657	1.5938	1657
235	1.8261	184	1.6739	184
236	2.5503	189	1.8307	189
237	2.7144	2038	1.8229	2038
238	2.8652	705	1.7844	705
239	7.0641	2794	22.2810	2794
240	1.5502	1623	11.6334	1623
241	2.2521	1305	1.3755	1305
242	4.5777	1454	6.4298	1454
243	2.4857	2619	2.0974	2619
244	1.9671	2249	1.6078	2249
245	2.4595	4947	1.9854	4947
246	2.4611	1362	14.9853	1362
247	1.6203	2839	3.3850	2839
248	1.9074	3921	1.4547	3921
249	1.9276	3096	2.0132	3096
250	1.8711	4090	1.5203	4090
251	1.8646	3877	1.7367	3877
252	1.8140	3802	1.8169	3802
253	1.0151	2447	6.1324	2447
254	1.5227	1033	1.5402	1033
255	1.1935	2047	1.3874	2047
256	1.4184	3136	1.0829	3136
257	1.7579	2206	1.5970	2206
258	2.5098	51	1.6078	51
259	1.7120	1250	7.8080	1250
260	1.7627	1458	15.1022	1458
261	2.2072	1723	41.5049	1723
262	1.4062	2656	27.5531	2656
263	2.1731	4817	18.0023	4817
264	3.6071	2708	26.7326	2708
265	1.6450	3797	6.8960	3797
266	3.0980	2142	11.8716	2142
267	6.3741	1473	12.0679	1473
268	2.9330	2313	48.6930	2313
269	1.4126	143	3.8462	143
270	1.6056	1326	25.4706	1326
271	4.7342	1531	2.1476	1531
272	1.2204	1384	6.7984	1384
273	5.1596	4022	4.9403	4022
274	1.5597	595	28.6891	595
275	10.4019	2946	6.1507	2946
276	15.1434	1088	2.2215	1088
277	15.4581	633	1.9352	633
278	13.6108	519	3.8960	519
279	1.6058	1002	37.4970	1002
280	6.2856	2752	1.8921	2752
281	3.0496	2519	24.0421	2519
282	12.3162	857	5.8331	857
283	5.4573	737	1.8725	737
284	5.0225	1557	1.4290	1557
285	2.2322	5900	14.3503	5900
286	8.4012	1625	8.2498	1625
287	5.6943	3988	2.0742	3988
288	2.2055	2019	13.6964	2019
289	5.6358	2065	24.8048	2065
290	1.4353	726	9.0689	726
291	2.1417	1807	10.7399	1807
292	9.0140	2578	2.6552	2578
293	2.3817	448	9.0045	448
294	3.2160	4740	6.1114	4740
295	2.2872	2298	9.1301	2298
296	2.5819	4035	2.4007	4035
297	2.1960	2342	4.3762	2342
298	2.1450	786	2.3664	786
299	2.3102	3227	2.3275	3227
300	3.7166	4019	12.0592	4019
301	3.2575	268	3.0896	268
302	2.4884	43	2.2558	43
303	2.3626	1638	2.2155	1638
304	2.7379	3468	2.2437	3468
305	2.1429	112	1.8571	112
306	8.5000	718	19.1184	718
307	12.7954	4994	1.9551	4994
308	1.6982	666	1.4895	666
309	2.4110	2645	1.8227	2645
310	3.2959	632	7.3608	632
311	2.7795	1075	5.3991	1075
312	2.9647	2775	1.6728	2775
313	4.0795	2504	1.9429	2504
314	2.9153	118	8.8136	118
315	2.1233	1841	1.9261	1841
316	2.2289	1957	1.8978	1957
317	0.7261	3720	1.5992	3720
318	2.8473	3136	1.7695	3136
319	17.1653	2118	4.3532	2118
320	2.1259	143	1.8042	143
321	2.6338	3113	1.5120	3113
322	1.6405	2812	1.4303	2812
323	1.9683	2271	1.5830	2271
324	5.8147	3476	1.5503	3476
325	2.5449	3076	1.5832	3076
326	2.4084	2417	1.5515	2417
327	2.3674	4491	1.6604	4491
328	2.0204	5049	1.7037	5049
