ID	Int_TYPE1_N	Int_TYPE2_N
265	0.9746	15.1356
266	0.4615	19.8846
267	9.6848	1.6087
268	5.2667	1.8857
269	4.3962	2.3585
270	1.9930	18.6503
271	8.5685	1.7568
272	3.7042	7.9833
273	5.7624	7.2574
274	0.8860	15.5983
275	0.8830	17.9894
276	1.1504	9.3139
277	1.3667	9.6733
278	10.1235	4.9961
279	3.4211	20.2153
280	1.2317	10.7537
281	7.3729	4.7520
282	1.4211	10.7368
283	0.9167	5.4821
284	3.7214	4.5385
285	1.8529	2.3235
286	1.1667	2.1667
287	1.0714	2.0000
288	1.4000	3.2000
289	2.3431	3.9124
290	8.7000	3.7390
291	1.5714	1.7143
292	1.0420	1.1538
293	2.3333	11.0397
294	0.8986	4.8986
295	1.1412	12.4496
296	1.2222	12.2222
297	1.1268	1.4732
298	0.9910	1.2446
299	2.0000	1.3333
300	0.8382	0.7457
301	0.8974	0.7949
302	0.9784	1.1079
303	0.3704	1.0000
304	0.4345	1.0203
305	0.4000	0.4000
306	0.4242	0.6465
307	0.4455	1.3727
308	0.1940	0.5463
309	0.5592	1.1184
310	0.6471	1.0294
311	0.4865	0.5135
312	0.2448	0.5806
313	1.5000	27.1667
314	1.4306	11.5294
315	1.2294	11.7982
316	1.3164	10.4393
317	1.7884	15.7998
318	3.1448	4.4706
319	1.7531	3.8791
320	0.7439	18.9146
321	8.2014	19.7884
322	1.0193	19.7005
323	1.1481	23.6410
324	4.2202	6.1787
325	0.5814	16.1628
326	1.4815	28.7778
327	3.6500	21.5500
328	4.2264	1.4277
329	3.2649	1.3636
330	16.1667	1.4583
331	7.6379	4.6034
332	4.4578	5.4980
333	1.6176	20.7681
334	4.7597	7.0152
335	2.8403	2.0285
336	1.5023	13.6869
337	1.7846	3.8927
338	2.6591	17.1875
339	1.0309	8.8650
340	5.7725	2.3651
341	1.4038	7.1268
342	1.4008	6.7789
343	1.2119	7.4046
344	1.3532	5.6816
345	1.5389	5.8526
346	3.7143	2.1429
347	1.7976	4.1745
348	13.9774	2.4361
349	0.7689	1.1402
350	3.7480	1.3235
351	1.0706	1.1588
352	1.1972	1.0986
353	3.6221	3.3645
354	2.0000	2.2500
355	0.7682	2.0972
356	0.6447	0.8289
357	0.9923	1.0308
358	1.0411	1.2603
359	0.7009	1.3738
360	0.9259	1.2296
361	0.5333	1.4000
362	1.2069	1.3448
363	0.4719	2.4710
364	0.6552	0.7586
365	0.5569	0.6527
366	0.5833	0.7500
367	0.2364	0.5455
368	0.5373	1.2265
369	0.4286	0.9821
370	0.1952	0.6989
371	2.7619	35.3810
372	1.5000	44.7857
373	1.5455	26.2208
374	0.0000	9.0000
375	1.6115	9.4101
376	1.7436	12.0513
377	1.2353	10.1029
378	2.2113	40.5186
379	0.7069	9.7034
380	3.4505	3.6484
381	0.9012	18.2593
382	1.1545	14.7273
383	14.4250	20.6250
384	3.9138	16.6077
385	0.1429	7.0000
386	3.4129	2.1603
387	3.0930	3.9147
388	1.4117	28.2131
389	5.0826	4.5543
390	1.6251	21.2951
391	4.0152	1.4467
392	1.1667	22.6307
