ID	Int_TYPE1_N	Int_TYPE2_N	Cell area	Roundness	Solidity
120	112.1318	13.337	16.3958	0.7728	0.8726
121	132.1813	28.3289	45.1184	0.6844	0.9008
122	146.1883	64.2472	26.9274	0.9622	0.8824
123	160.8333	18.9588	11.9677	0.8432	0.8734
124	164.0175	28.3081	42.7248	0.7158	0.8804
125	173.1894	25.3741	25.4913	0.7007	0.9122
126	179.7122	37.2017	133.3206	0.6517	0.8656
127	129.9536	61.1367	39.6132	0.7959	0.9194
128	53.5723	21.9831	23.2174	0.6842	0.8453
129	188.4243	20.212	15.9171	0.8129	0.7917
130	147.7781	23.0872	238.7563	0.4892	0.754
131	153.9342	43.8634	56.9664	0.6444	0.8631
132	139.9227	20.6379	62.4716	0.4789	0.8049
133	116.0837	46.6245	44.1609	0.7371	0.9066
134	146.7071	35.8214	31.9539	0.6627	0.893
135	51.404	28.2604	13.2842	0.7998	0.8473
136	80.534	33.6101	31.5948	0.6741	0.8237
137	173.0268	23.3659	43.5626	0.5795	0.8436
138	139.4079	32.0084	52.658	0.6046	0.867
139	98.7184	32.577	32.5522	0.6045	0.8649
140	165.7675	31.8002	53.8548	0.7264	0.9
141	115.0316	33.7424	52.0596	0.8144	0.9148
142	89.5432	19.1119	54.0942	0.5309	0.8203
143	130.7912	24.4295	107.7096	0.6896	0.8399
144	177.1946	24.9353	44.7593	0.6689	0.8598
145	224.1113	25.8374	34.2277	0.6207	0.8102
146	88.0642	36.1555	36.3819	0.3662	0.8527
147	213.6023	20.9449	21.7813	0.7894	0.8922
148	109.2624	23.8231	93.109	0.8458	0.8937
149	96.622	23.7527	50.1448	0.7719	0.8684
150	155.3758	18.4386	43.9216	0.8632	0.8004
151	137.2365	31.4094	95.7419	0.8514	0.8607
152	118.0976	21.0171	57.6845	0.5886	0.8346
153	150.5786	22.8977	52.4187	0.6601	0.8497
154	167.11	20.2474	13.6432	0.7202	0.9306
155	98.4806	21.9925	83.4151	0.9114	0.7862
156	55.8744	18.5042	22.3797	0.6253	0.8078
157	136.6613	23.7983	210.0338	0.8539	0.7959
158	143.1242	26.8721	56.368	0.704	0.8464
159	96.8087	33.3024	150.6738	0.6076	0.8671
160	144.4896	16.6297	14.7203	0.3796	0.9077
161	85.8908	21.4508	29.68	0.6701	0.9185
162	124.9088	22.5538	17.3532	0.4794	0.8951
163	29.7636	37.7038	12.8055	0.6808	0.8359
164	23.8597	26.2678	31.2358	0.7444	0.9206
165	23.1548	26.3205	10.771	0.5515	0.8824
166	65.0071	28.1052	98.4945	0.7625	0.8276
